City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Partizanskoye,55.5006,94.39,34.25,95,97,7.23,RU,2021-09-27 17:54:10
68,Northam,51.0333,-4.2167,59.02,78,3,15.93,GB,2021-09-27 17:54:10
69,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
70,Ust-Kuyga,70.0167,135.6,25.7,97,98,1.79,RU,2021-09-27 17:54:10
71,Hattiesburg,31.3271,-89.2903,83.21,57,1,0.0,US,2021-09-27 17:51:59
72,Mnogovershinnyy,53.9353,139.9242,47.16,94,100,3.91,RU,2021-09-27 17:54:11
73,Vila Velha,-20.3297,-40.2925,82.35,68,40,19.57,BR,2021-09-27 17:54:11
74,Port Alfred,-33.5906,26.891,65.07,89,81,21.56,ZA,2021-09-27 17:54:11
75,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
76,Ahipara,-35.1667,173.1667,49.41,72,30,9.15,NZ,2021-09-27 17:54:12
77,Rafaela,-31.2503,-61.4867,93.0,24,0,1.99,AR,2021-09-27 17:54:12
78,Puerto Baquerizo Moreno,-0.9,-89.6,68.86,87,93,10.74,EC,2021-09-27 17:54:12
79,Harper,4.375,-7.7169,76.59,88,100,7.72,LR,2021-09-27 17:54:13
80,Torbay,47.6666,-52.7314,66.97,92,75,12.66,CA,2021-09-27 17:54:13
81,Cayenne,4.9333,-52.3333,91.44,73,20,1.99,GF,2021-09-27 17:54:13
82,Hilo,19.7297,-155.09,76.8,91,90,4.61,US,2021-09-27 17:53:41
83,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
84,Avarua,-21.2078,-159.775,71.65,94,8,1.14,CK,2021-09-27 17:54:14
85,Vila Velha,-20.3297,-40.2925,82.35,68,40,19.57,BR,2021-09-27 17:54:11
86,Georgetown,5.4112,100.3354,77.95,94,40,5.01,MY,2021-09-27 17:54:07
87,Winder,33.9926,-83.7202,82.89,55,75,8.05,US,2021-09-27 17:53:37
88,Geraldton,-28.7667,114.6,52.21,93,26,6.91,AU,2021-09-27 17:54:14
89,Namibe,-15.1961,12.1522,64.42,88,8,10.51,AO,2021-09-27 17:54:15
90,Nara,34.6851,135.8049,70.88,67,2,3.94,JP,2021-09-27 17:54:15
91,Maragogi,-9.0122,-35.2225,79.79,72,21,12.91,BR,2021-09-27 17:54:15
92,Esperance,-33.8667,121.9,53.44,81,97,18.3,AU,2021-09-27 17:54:16
93,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
94,Batemans Bay,-35.7167,150.1833,49.19,75,63,3.47,AU,2021-09-27 17:54:16
95,Sibay,52.7181,58.6658,33.01,97,100,16.2,RU,2021-09-27 17:54:16
96,Prainha,-1.8,-53.48,95.67,36,28,5.7,BR,2021-09-27 17:54:16
97,Punta Arenas,-53.15,-70.9167,50.11,53,75,28.77,CL,2021-09-27 17:49:42
98,Nikolskoye,59.7035,30.7861,49.89,97,9,3.98,RU,2021-09-27 17:54:17
99,Punta Arenas,-53.15,-70.9167,50.11,53,75,28.77,CL,2021-09-27 17:49:42
100,Torbay,47.6666,-52.7314,66.97,92,75,12.66,CA,2021-09-27 17:54:13
101,Ponta Do Sol,32.6667,-17.1,75.83,71,24,4.61,PT,2021-09-27 17:54:17
102,Ribeira Grande,38.5167,-28.7,72.0,73,75,12.66,PT,2021-09-27 17:54:17
103,Mount Isa,-20.7333,139.5,56.97,30,3,0.0,AU,2021-09-27 17:54:18
104,Hobart,-42.8794,147.3294,46.26,82,75,3.0,AU,2021-09-27 17:54:01
105,Byron Bay,-28.65,153.6167,60.06,59,93,4.21,AU,2021-09-27 17:54:18
106,Bluff,-46.6,168.3333,40.8,80,53,10.6,NZ,2021-09-27 17:54:18
107,Coahuayana,18.7333,-103.6833,88.93,61,95,4.07,MX,2021-09-27 17:54:19
